paper id,last_name,first_name,full_name,api_gender,api_script,api_scale,api_score,api_probabilityCalibrated
704.2095,Ng,Kin-Wang,Kin-Wang Ng,male,LATIN,-0.2654743388085674,4.085951236306245,0.6327371694042837
704.2104,Tervo,Jouko,Jouko Tervo,male,LATIN,-0.8204236987671678,10.618654583746762,0.910211849383584
704.2104,Nihtilä,Markku,Markku Nihtilä,male,LATIN,-0.9915450680093184,24.26746417068224,0.9957725340046591
704.2104,Kokkonen,Petri,Petri Kokkonen,male,LATIN,-0.0591119538077957,1.517651095249663,0.5295559769038979
704.21,Balmaverde,Barbara,Barbara Balmaverde,female,LATIN,0.9739770707374872,16.942546888839175,0.9869885353687436
704.2107,Bleile,Beatrice,Beatrice Bleile,male,LATIN,-0.9837723466195558,19.608077978783264,0.991886173309778
704.2109,Dunning,Clare,Clare Dunning,male,LATIN,-0.1689406169403997,2.5672274548231155,0.5844703084701999
704.2109,Suzuki,Junji,Junji Suzuki,male,LATIN,-0.9457555450718926,14.342734150265404,0.9728777725359464
704.2108,Nakajima,Yasushi,Yasushi Nakajima,male,LATIN,-0.940428413332958,14.119293743804386,0.970214206666479
704.2112,Albrecht,J,J Albrecht,male,LATIN,-0.2864082738307576,4.712901772625861,0.6432041369153788
704.2112,Bruck,S,S Bruck,male,LATIN,-0.2094453183611304,3.038945303055048,0.6047226591805652
704.2111,Kimura,Tetsuji,Tetsuji Kimura,male,LATIN,-0.9756600816866752,17.438553239599866,0.9878300408433376
704.211,Krüger,Ekkehard,Ekkehard Krüger,male,LATIN,-0.9919661646774812,25.91273168431856,0.9959830823387406
704.2117,Miyamoto,Manabu,Manabu Miyamoto,male,LATIN,-0.6878131794283886,8.408770782708464,0.8439065897141943
704.2122,Yu,Sixia,Sixia Yu,female,LATIN,0.9173545219609291,12.582119548804808,0.9586772609804646
704.2126,Bambi,Cosimo,Cosimo Bambi,male,LATIN,-0.9593730536608178,15.223169532249686,0.9796865268304088
704.2133,Duerr,Detlef,Detlef Duerr,male,LATIN,-0.9920013159440596,25.93203810870288,0.99600065797203
704.2141,Timokhin,Andrey,Andrey Timokhin,male,LATIN,-0.98215738848267,19.11365770049018,0.991078694241335
704.2138,Mohrbach,Hervé,Hervé Mohrbach,male,LATIN,-0.9697556546231628,16.247793891003674,0.9848778273115816
704.2138,Schiessel,Helmut,Helmut Schiessel,male,LATIN,-0.9900317325476196,21.961035825658787,0.9950158662738098
704.214,Tuffs,Richard J.,Richard J. Tuffs,male,LATIN,-0.9937976921298362,31.4606777451855,0.996898846064918
704.2149,Airault,Helene,Helene Airault,male,LATIN,-0.987108227688746,20.807940415298816,0.993554113844373
704.2149,Neretin,Yuri A.,Yuri A. Neretin,male,LATIN,-0.99380483223086,40.37270906638126,0.99690241611543
704.2154,Sewell,Phillip,Phillip Sewell,male,LATIN,-0.9912127753150388,23.12887445613549,0.9956063876575194
704.2159,Fukumura,Keigo,Keigo Fukumura,male,LATIN,-0.9581988296478224,15.108278720122462,0.9790994148239112
704.2179,Hollenbach,David J.,David J. Hollenbach,male,LATIN,-0.9937885381541648,30.63650736286372,0.9968942690770825
704.2179,Snell,Ronald L.,Ronald L. Snell,male,LATIN,-0.9937991933818462,31.69477556341384,0.9968995966909232
704.2179,Melnick,Gary J.,Gary J. Melnick,male,LATIN,-0.9162120504269412,12.543987027819863,0.9581060252134704
704.2179,Bergin,Edwin A.,Edwin A. Bergin,male,LATIN,-0.9924069102981128,26.186796713691905,0.9962034551490564
704.2184,Bissaldi,Elisabetta,Elisabetta Bissaldi,female,LATIN,0.9900889160448144,21.99437891466134,0.9950444580224072
704.2184,Connaughton,Valerie,Valerie Connaughton,female,LATIN,0.974315699588322,17.024602204943495,0.987157849794161
704.2184,Kouveliotou,Chryssa,Chryssa Kouveliotou,female,LATIN,0.977725629015164,18.308919555032887,0.988862814507582
704.2184,Wilson-Hodge,Colleen,Colleen Wilson-Hodge,female,LATIN,0.905765657653901,12.132435418410068,0.9528828288269504
704.2194,Pomeau,Yves,Yves Pomeau,male,LATIN,-0.975666018627815,17.440820315461686,0.9878330093139076
704.2192,Wolff,Michael T.,Michael T. Wolff,male,LATIN,-0.978778639171254,18.449731212512447,0.989389319585627
704.2196,Gordon,Karl D.,Karl D. Gordon,male,LATIN,-0.9747964862007548,17.153826834572463,0.9873982431003774
704.2196,Engelbracht,Charles W.,Charles W. Engelbracht,male,LATIN,-0.7364132780453909,9.246233112360729,0.8682066390226955
704.2196,Neugebauer,Gerry,Gerry Neugebauer,male,LATIN,-0.7293047273471469,9.070885321191344,0.8646523636735735
704.2196,Hines,Dean,Dean Hines,male,LATIN,-0.9695292641510792,16.22129068378384,0.9847646320755395
704.2196,Kelly,Doug,Doug Kelly,male,LATIN,-0.9842084139042716,19.70386521195216,0.992104206952136
704.2196,Misselt,Karl,Karl Misselt,male,LATIN,-0.975720983682066,17.462056938618908,0.987860491841033
704.2196,Morrison,Jane,Jane Morrison,female,LATIN,0.9247988063185952,12.874167703890748,0.9623994031592976
704.2199,Bruin,Henk,Henk Bruin,male,LATIN,-0.9901253275705708,22.016204397269902,0.9950626637852854
704.2202,Behler,Jorg,Jorg Behler,male,LATIN,-0.992493763219284,26.25092944570619,0.996246881609642
704.2206,Halupczok,Immanuel,Immanuel Halupczok,male,LATIN,-0.9817273210224422,19.0003693271835,0.9908636605112212
704.2204,Croll,Bryce,Bryce Croll,male,LATIN,-0.9282778724211966,13.04674743947492,0.9641389362105984
704.2204,Rucinski,Slavek M.,Slavek M. Rucinski,male,LATIN,-0.9931795424606906,26.991295145047395,0.9965897712303452
704.2204,Sasselov,Dimitar,Dimitar Sasselov,male,LATIN,-0.993803660521974,33.29948332731531,0.996901830260987
704.2204,Weiss,Werner W.,Werner W. Weiss,male,LATIN,-0.9935852832783544,28.037946527579265,0.9967926416391772
704.2211,Vittoria,Carmine,Carmine Vittoria,male,LATIN,-0.6838957547338558,8.364060395067757,0.8419478773669279
704.2209,Haynes,Martha P.,Martha P. Haynes,female,LATIN,0.9777152021672476,18.30761981519944,0.9888576010836236
704.2212,Zhuk,Serhiy,Serhiy Zhuk,male,LATIN,-0.99372808529883,29.088971481635937,0.996864042649415
704.221,Pearson,Chris P.,Chris P. Pearson,male,LATIN,-0.6275543697846637,7.876111700188321,0.8137771848923319
704.221,Benford,Dominic J.,Dominic J. Benford,male,LATIN,-0.985677681780252,20.11741978846553,0.992838840890126
704.221,Sumner,Timothy J.,Timothy J. Sumner,male,LATIN,-0.9706683696904714,16.362395621460774,0.9853341848452356
704.221,Ashby,Matthew L. N.,Matthew L. N. Ashby,male,LATIN,-0.9856819543908892,20.11891027571309,0.9928409771954446
704.221,Kovács,Attila,Attila Kovács,male,LATIN,-0.411065100982436,6.353075401335165,0.705532550491218
704.221,Floc'h,Emeric Le,Emeric Le Floc'h,male,LATIN,-0.9844895146020808,19.770861190665844,0.9922447573010404
704.221,Silverberg,Robert F.,Robert F. Silverberg,male,LATIN,-0.9873852194654912,21.021889962180698,0.9936926097327456
704.2217,Kandus,Alejandra,Alejandra Kandus,male,LATIN,-0.9872360200688576,20.90100197832012,0.9936180100344288
