paper id,last_name,first_name,full_name,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.0124,Coupet,Bernard,Bernard Coupet,male,male,male,male,0.98,0.9927473531022412
704.0124,Sukhov,Alexandre,Alexandre Sukhov,unknown,male,male,male,0.99,0.996901299330398
704.0125,Wirth,Jens,Jens Wirth,male,male,male,male,0.99,0.994930745512994
704.0127,Roshchin,Igor V.,Igor V. Roshchin,male,male,male,male,0.99,0.9969021781120624
704.0127,Schuller,Ivan K.,Ivan K. Schuller,male,male,male,male,0.99,0.9860038743481604
704.0127,Liu,Kai,Kai Liu,unknown,male,male,male,0.93,0.650057237049947
704.0126,Yang,Huan,Huan Yang,male,unknown,male,male,0.82,0.8566838659017726
704.0126,Jia,Ying,Ying Jia,unknown,unknown,female,female,0.86,0.7048863575887867
704.0126,Shan,Lei,Lei Shan,unknown,unknown,female,female,0.51,0.631130261144695
704.0126,Wen,Hai-Hu,Hai-Hu Wen,unknown,unknown,unknown,female,0.0,0.9607830700651578
704.0126,Zhuang,Chenggang,Chenggang Zhuang,unknown,unknown,male,male,1.0,0.769990238415666
704.0126,Li,Qi,Qi Li,male,unknown,male,female,0.64,0.5076375923437866
704.0126,Cui,Yi,Yi Cui,unknown,unknown,female,female,0.5,0.5135369708226304
704.0129,Sorrentino,Alfonso,Alfonso Sorrentino,male,male,male,male,0.99,0.9935332824347628
704.013,Bouarroudj,Sofiane,Sofiane Bouarroudj,unknown,male,male,female,0.98,0.5030000579212639
704.013,Grozman,Pavel,Pavel Grozman,male,male,male,male,0.98,0.9957901374055363
704.013,Leites,Dimitry,Dimitry Leites,male,unknown,male,male,0.98,0.9867850016102644
704.0136,Weng,Zihua,Zihua Weng,unknown,unknown,male,male,0.93,0.5242758683941938
704.0135,Menicucci,Nicolas C.,Nicolas C. Menicucci,male,male,male,male,0.99,0.9866030656935976
704.0138,Barausse,Enrico,Enrico Barausse,male,male,male,male,0.99,0.9959309229853645
704.0138,Hughes,Scott A.,Scott A. Hughes,male,male,male,male,0.99,0.9957082090035246
704.0138,Rezzolla,Luciano,Luciano Rezzolla,male,male,male,male,0.99,0.9906643388475512
704.014,Cadoni,Mariano,Mariano Cadoni,male,male,male,male,0.98,0.97010995127749
704.0149,Gourgoulhon,Eric,Eric Gourgoulhon,male,male,male,male,0.99,0.9957422275651912
704.015,Gu,Bo,Bo Gu,unknown,male,male,male,0.79,0.6730448970307497
704.015,Su,Gang,Gang Su,unknown,unknown,male,male,0.94,0.7152233693772311
704.0154,Eichstaedt,Fabian,Fabian Eichstaedt,male,male,male,male,0.99,0.989165938861256
704.0154,Leupold,Stefan,Stefan Leupold,male,male,male,male,0.98,0.9941895961786502
704.0154,Mosel,Ulrich,Ulrich Mosel,male,male,male,male,0.98,0.9804592123156924
704.0154,Muehlich,Pascal,Pascal Muehlich,male,male,male,male,0.99,0.990591384302184
704.0155,van der Tak,Floris,Floris van der Tak,unknown,male,male,female,0.92,0.5604690749167476
704.0155,Schoeier,Fredrik,Fredrik Schoeier,male,male,male,male,0.99,0.9958129245413998
704.0156,He,Han,Han He,unknown,unknown,male,male,0.73,0.6302038891903127
704.0158,Yang,Huijie,Huijie Yang,unknown,unknown,female,female,0.58,0.5871248846158748
704.0163,Brommer,Peter,Peter Brommer,male,male,male,male,0.99,0.9957627347841872
704.0164,Rosati,Lilia,Lilia Rosati,female,female,female,female,0.98,0.9965940003671055
704.0166,Saad,Fouad,Fouad Saad,male,male,male,male,0.98,0.9866866183265316
704.0166,Uranga,Angel M.,Angel M. Uranga,unknown,male,male,male,0.68,0.6347561791029039
704.0165,Abu-Hamed,Mohammad,Mohammad Abu-Hamed,male,male,male,male,0.98,0.9946481855583128
704.0165,Gelaki,Shlomo,Shlomo Gelaki,male,male,male,male,0.99,0.9709636915266192
704.0169,Calucci,Giorgio,Giorgio Calucci,male,male,male,male,0.99,0.9947583232647748
704.0167,Eeg,Jan O.,Jan O. Eeg,unknown,male,male,male,0.95,0.6761230276356448
704.017,Fausti,Daniele,Daniele Fausti,unknown,female,male,female,0.95,0.5594822333122329
704.017,Macovez,Roberto,Roberto Macovez,male,male,male,male,0.99,0.9956065579217952
704.017,Luzon,Javier,Javier Luzon,male,male,male,male,0.99,0.9955753661682568
704.017,Rudolf,Petra,Petra Rudolf,female,female,female,female,0.99,0.9675667822056832
704.017,Tristan,Natalia,Natalia Tristan,female,female,female,female,0.98,0.9954721791404548
704.017,Buchner,Bernd,Bernd Buchner,male,male,male,male,0.99,0.996469817533146
704.017,van Smaalen,Sander,Sander van Smaalen,unknown,male,male,male,0.98,0.950655796452106
704.017,Moller,Angela,Angela Moller,female,female,female,female,0.99,0.9875571078349228
704.017,Meyer,Gerd,Gerd Meyer,unknown,male,male,male,0.93,0.92227731958673
704.017,Taetz,Timo,Timo Taetz,male,male,male,male,0.99,0.9903144606284866
704.0174,Botella,Francisco J.,Francisco J. Botella,male,male,male,male,0.99,0.9958294795836172
704.0174,Nebot,Miguel,Miguel Nebot,male,male,male,male,0.99,0.9949165724589256
704.0175,Amendola,Luca,Luca Amendola,unknown,male,male,male,0.96,0.7129000115043648
704.0175,Charmousis,Christos,Christos Charmousis,male,male,male,male,0.99,0.9950506694553012
704.0176,Huang,Jing,Jing Huang,unknown,unknown,female,female,0.75,0.5614121644011452
704.0176,Ren,Hao,Hao Ren,unknown,unknown,male,male,0.89,0.6723755548386156
704.0176,Su,Haibin,Haibin Su,unknown,unknown,male,male,0.93,0.8085578431130841
704.0176,Yang,Jinlong,Jinlong Yang,unknown,unknown,male,male,0.99,0.909262133800358
704.0179,Zavatta,Alessandro,Alessandro Zavatta,male,male,male,male,0.99,0.9932165349439606
704.0179,Parigi,Valentina,Valentina Parigi,female,female,female,female,0.99,0.991594456599236
704.0179,Bellini,Marco,Marco Bellini,male,male,male,male,0.99,0.9883836652947856
704.0178,Holst,Bastian,Bastian Holst,male,male,male,male,0.99,0.9934009242971884
704.0178,Nettelmann,Nadine,Nadine Nettelmann,female,female,female,female,0.98,0.9884754547970422
704.0178,Redmer,Ronald,Ronald Redmer,male,male,male,male,0.99,0.995794088679854
704.018,Rodin,Vadim,Vadim Rodin,male,male,male,male,1.0,0.9958260336873622
704.0181,Goh,Joel,Joel Goh,male,male,male,male,0.98,0.9914604153418805
704.0181,Fushman,Ilya,Ilya Fushman,unknown,male,male,male,0.97,0.910386111579646
704.0181,Englund,Dirk,Dirk Englund,male,male,male,male,0.99,0.9959379349307288
704.0181,Vuckovic,Jelena,Jelena Vuckovic,female,female,female,female,0.98,0.9796357103044012
704.0186,Takahashi,Ryo,Ryo Takahashi,male,unknown,male,male,0.96,0.9702811106211332
704.0186,Tanimoto,Morimitsu,Morimitsu Tanimoto,unknown,unknown,male,male,1.0,0.8667688550490041
704.0191,Mirny,Leonid A.,Leonid A. Mirny,male,male,male,male,1.0,0.9932849746491592
704.0191,Kardar,Mehran,Mehran Kardar,male,male,male,male,0.98,0.9792200191947904
704.0193,Yuan,Shengjun,Shengjun Yuan,unknown,unknown,male,male,0.9,0.6541818297274559
704.0193,De Raedt,Hans,Hans De Raedt,male,male,male,male,0.97,0.9942400742920254
704.0193,Miyashita,Seiji,Seiji Miyashita,male,male,male,male,1.0,0.9823417473015762
704.0196,Piesciuk,Karolina,Karolina Piesciuk,female,female,female,female,0.98,0.99578228840291
704.0196,Praszalowicz,Michal,Michal Praszalowicz,unknown,male,male,male,0.99,0.6416618057030291
704.0197,Schober,Steffen,Steffen Schober,male,male,male,male,1.0,0.9807968442160244
704.0195,Drinfeld,Vladimir,Vladimir Drinfeld,male,male,male,male,0.99,0.9966531350499436
704.0195,Nikshych,Dmitri,Dmitri Nikshych,male,male,male,male,1.0,0.995822957800046
704.0195,Ostrik,Victor,Victor Ostrik,male,male,male,male,0.99,0.994572287662286
704.0199,Müller,Thomas,Thomas Müller,male,male,male,male,0.99,0.9967613167344294
704.0202,Perdrix,Simon,Simon Perdrix,male,male,male,male,0.98,0.9867603188267065
704.0201,Wang,Weiqiang,Weiqiang Wang,unknown,unknown,male,male,1.0,0.8765684625101245
704.0203,Lada,Charles J.,Charles J. Lada,male,male,male,male,0.99,0.9382152129342975
704.0203,Young,Erick,Erick Young,male,male,male,female,0.98,0.6958998065339556
704.0204,Pala,Marco G.,Marco G. Pala,male,male,male,male,0.99,0.990778474980896
704.0204,König,Jürgen,Jürgen König,unknown,male,male,male,0.99,0.9885247252668734
704.0206,Lepri,Stefano,Stefano Lepri,male,male,male,male,0.99,0.9892768016159184
704.0207,Prakash,M,M Prakash,unknown,unknown,female,male,0.6,0.5150368844683141
704.0208,Hagge,Tobias J.,Tobias J. Hagge,male,male,male,female,1.0,0.6846255010228686
704.021,Dancer,Andrew,Andrew Dancer,male,male,male,male,0.99,0.994257011135025
704.0211,Kühn,Daniela,Daniela Kühn,female,female,female,female,0.98,0.9699233086222572
704.0211,Osthus,Deryk,Deryk Osthus,male,unknown,male,male,1.0,0.9904867010541716
704.0209,Park,Sangwook,Sangwook Park,unknown,male,male,male,0.97,0.9511146378810238
704.0209,Burrows,David N.,David N. Burrows,male,male,male,male,0.99,0.9957384411403846
704.0209,Garmire,Gordon P.,Gordon P. Garmire,male,male,male,male,0.99,0.995617380232024
704.0214,Znojil,Miloslav,Miloslav Znojil,unknown,male,male,male,0.99,0.996167461716716
704.0215,Puchała,Zbigniew,Zbigniew Puchała,male,male,male,male,1.0,0.9793201582480128
704.0215,Rolski,Tomasz,Tomasz Rolski,male,male,male,male,1.0,0.9968925115137534
704.0216,Pankratov,Oleg,Oleg Pankratov,male,male,male,male,1.0,0.99690241611543
704.0218,Pritykin,Yuri,Yuri Pritykin,unknown,male,male,male,0.76,0.6620411291375575
704.0217,Honig,Michael L.,Michael L. Honig,male,male,male,male,0.99,0.9869486803753172
704.0219,Gelfand,Joseph D.,Joseph D. Gelfand,male,male,male,male,0.99,0.995793125152512
704.0219,Slane,Patrick O.,Patrick O. Slane,male,male,male,male,0.99,0.9913507262135244
704.0219,Patnaude,Daniel J.,Daniel J. Patnaude,male,male,male,male,0.99,0.9950653541490788
704.0219,Hughes,John P.,John P. Hughes,male,male,male,male,0.99,0.9968640060335124
704.0219,Camilo,Fernando,Fernando Camilo,male,male,male,male,0.99,0.9914289335425116
704.0222,Sanchez-Conde,Miguel A.,Miguel A. Sanchez-Conde,male,male,male,male,0.99,0.9955109993444764
704.0221,Krauss,Lawrence M.,Lawrence M. Krauss,male,male,male,male,0.98,0.993281072772815
704.0221,Scherrer,Robert J.,Robert J. Scherrer,male,male,male,male,0.99,0.9968533508058308
704.0223,Lou,Yu-Qing,Yu-Qing Lou,unknown,unknown,unknown,female,0.0,0.6014009653605943
704.0231,Ortega-Cerda,Joaquim,Joaquim Ortega-Cerda,male,male,male,male,0.98,0.9946717884025582
