paper id,last_name,first_name,full_name,gender,confidence,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.1466,Leeb,Hannes,Hannes Leeb,male,1.0,male,male,male,male,0.99,0.976422295293688
704.147,Ballesteros,Angel,Angel Ballesteros,male,0.5242900297046005,unknown,male,male,male,0.68,0.6671601188184016
704.147,Ragnisco,Orlando,Orlando Ragnisco,male,1.0,male,male,male,male,0.98,0.9906181837345436
704.1471,Yesiltas,Ozlem,Ozlem Yesiltas,female,0.7022449017990955,female,unknown,female,female,0.96,0.978979607196382
704.1473,Chen,Jianxin,Jianxin Chen,neutral,0.2158737353802178,unknown,unknown,male,female,0.93,0.7969898830417423
704.1473,Duan,Runyao,Runyao Duan,male,0.1880082702809126,unknown,unknown,unknown,male,0.0,0.7520330811236504
704.1473,Ji,Zhengfeng,Zhengfeng Ji,male,0.2025,unknown,unknown,male,male,0.81,0.6845217284903906
704.1473,Ying,Mingsheng,Mingsheng Ying,male,0.225,unknown,unknown,male,male,0.9,0.9954351168009784
704.1475,Abraham,Romain,Romain Abraham,male,0.681994457252969,unknown,male,male,male,0.99,0.987977829011876
704.1475,Delmas,Jean-François,Jean-François Delmas,male,0.2475,unknown,unknown,male,male,0.99,0.9939891722529396
704.1472,Sandvik,Anders W.,Anders W. Sandvik,male,1.0,male,male,male,male,0.99,0.9958172398082508
704.1472,Balents,Leon,Leon Balents,male,1.0,male,male,male,male,0.98,0.9881417855376536
704.1483,Mazzarella,Joseph M.,Joseph M. Mazzarella,male,1.0,male,male,male,male,0.99,0.6103753022498272
704.1483,Buckalew,Brent,Brent Buckalew,male,1.0,male,male,male,male,0.99,0.978534806846288
704.1482,Fox,Patrick J.,Patrick J. Fox,male,1.0,male,male,male,male,0.99,0.9946024066537466
704.1482,Ligeti,Zoltan,Zoltan Ligeti,male,0.710957980208298,male,unknown,male,male,0.99,0.9838319208331922
704.1482,Schwartz,Matthew D.,Matthew D. Schwartz,male,1.0,male,male,male,male,1.0,0.9957030351956077
704.1489,Bona,Miklos,Miklos Bona,male,0.68546627532955,male,unknown,male,male,0.88,0.9918651013182
704.149,Bailey,Jon A.,Jon A. Bailey,male,1.0,male,male,male,male,0.98,0.6877804385150083
704.1495,Ayyer,Arvind,Arvind Ayyer,male,1.0,male,male,male,male,0.99,0.9951130638010144
704.1497,Downton,Matthew T.,Matthew T. Downton,male,1.0,male,male,male,male,1.0,0.5028843957166178
704.1496,Kim,Seung-Lee,Seung-Lee Kim,female,0.15047969307332262,unknown,unknown,unknown,female,0.0,0.6019187722932905
