paper id,last_name,first_name,full_name
704.0789,Long,Dan,Dan Long
704.2328,Zanolin,Fabio,Fabio Zanolin
704.2034,Coates,Tom,Tom Coates
704.0425,Gleim,Tobias,Tobias Gleim
704.0325,Grenard,Vincent,Vincent Grenard
704.0706,Onaka,Takashi,Takashi Onaka
704.0272,Loinard,Laurent,Laurent Loinard
704.1115,Pate,Stephen,Stephen Pate
704.0655,Juric,Mario,Mario Juric
704.0278,Khavkine,Igor,Igor Khavkine
704.0628,Tichy,Wolfgang,Wolfgang Tichy
704.0127,Liu,Kai,Kai Liu
704.0195,Ostrik,Victor,Victor Ostrik
704.0017,Warner,Brian,Brian Warner
704.0666,Wang,Bin,Bin Wang
704.0602,Schechter,Joseph,Joseph Schechter
704.0253,Brooke,Tim,Tim Brooke
704.0176,Huang,Jing,Jing Huang
704.0108,Gubin,Sergey,Sergey Gubin
704.1153,Yuan,Feng,Feng Yuan
704.1012,Guo,Yan,Yan Guo
704.0307,Herbst,William,William Herbst
704.159,Drees,Manuel,Manuel Drees
704.066,Fyta,Maria,Maria Fyta
704.0493,Koibuchi,Hiroshi,Hiroshi Koibuchi
704.1073,Sindoni,Lorenzo,Lorenzo Sindoni
704.0482,Peng,Peng,Peng Peng
704.3161,Liu,Rui,Rui Liu
704.0907,Jin,Yong,Yong Jin
704.0124,Sukhov,Alexandre,Alexandre Sukhov
704.0057,Werner,Philipp,Philipp Werner
704.0495,Planat,Michel,Michel Planat
704.0431,Hawke,Ian,Ian Hawke
704.0942,DeMarco,Laura,Laura DeMarco
704.0782,Rinne,Oliver,Oliver Rinne
704.0562,Mandon,Julien,Julien Mandon
704.0009,Merin,Bruno,Bruno Merin
704.0941,Panter,Ben,Ben Panter
704.1082,Yndurain,Felix,Felix Yndurain
704.1742,Pelinovsky,Dmitry,Dmitry Pelinovsky
704.0718,Meloni,Davide,Davide Meloni
704.0397,Molmer,Klaus,Klaus Molmer
705.3749,Lucier,Jason,Jason Lucier
704.0061,Rubin,Boris,Boris Rubin
704.0946,Furlanetto,Steven,Steven Furlanetto
704.0647,Linde,Andrei,Andrei Linde
704.0462,Orlando,Elena,Elena Orlando
704.013,Grozman,Pavel,Pavel Grozman
704.189,Capasso,Federico,Federico Capasso
705.0645,Colafrancesco,Sergio,Sergio Colafrancesco
704.0938,Wang,Hui,Hui Wang
705.1198,Sun,Chao,Chao Sun
704.0742,Texier,Christophe,Christophe Texier
704.0687,Szopa,Piotr,Piotr Szopa
704.017,Fausti,Daniele,Daniele Fausti
704.0431,Schnetter,Erik,Erik Schnetter
706.2919,Gao,Liang,Liang Gao
704.0165,Abu-Hamed,Mohammad,Mohammad Abu-Hamed
704.0561,Berger,Jorge,Jorge Berger
704.0442,Conti,Claudio,Claudio Conti
704.2237,Giombi,Simone,Simone Giombi
704.0356,Cerdá-Durán,Pablo,Pablo Cerdá-Durán
